Datetime,Open,High,Low,Close,Volume
2008-01-02 06:00:00,1591.00,1592.50,1590.75,1592.25,2317
2008-01-02 06:01:00,1592.00,1592.50,1591.75,1592.50,777
2008-01-02 06:02:00,1592.75,1593.00,1592.50,1593.00,593
2008-01-02 06:03:00,1593.00,1593.25,1592.75,1593.00,472
2008-01-02 06:04:00,1593.00,1593.00,1592.75,1592.75,57
2008-01-02 06:05:00,1592.75,1594.50,1592.75,1594.50,821
2008-01-02 06:06:00,1594.25,1595.00,1594.25,1595.00,591
2008-01-02 06:07:00,1594.75,1595.00,1592.75,1593.25,1041
2008-01-02 06:08:00,1593.25,1593.75,1593.25,1593.50,187
2008-01-02 06:09:00,1593.50,1594.00,1593.50,1593.75,352
2008-01-02 06:10:00,1593.75,1593.75,1593.50,1593.75,213
2008-01-02 06:11:00,1593.75,1594.25,1593.75,1593.75,222
2008-01-02 06:12:00,1593.75,1594.25,1592.50,1593.75,909
2008-01-02 06:13:00,1593.50,1593.75,1593.25,1593.50,162
2008-01-02 06:14:00,1593.50,1593.50,1592.75,1593.25,237
2008-01-02 06:15:00,1593.25,1593.25,1592.75,1593.00,264
2008-01-02 06:16:00,1593.25,1593.50,1593.00,1593.50,106
2008-01-02 06:17:00,1593.50,1593.50,1593.25,1593.50,138
2008-01-02 06:18:00,1593.50,1593.50,1593.25,1593.50,129
2008-01-02 06:19:00,1593.50,1593.50,1593.00,1593.25,409
2008-01-02 06:20:00,1593.25,1593.50,1593.25,1593.25,58
2008-01-02 06:21:00,1593.25,1593.25,1593.25,1593.25,117
2008-01-02 06:22:00,1593.25,1593.75,1593.25,1593.75,176
2008-01-02 06:23:00,1593.75,1594.25,1593.75,1594.00,166
2008-01-02 06:24:00,1593.75,1594.00,1593.75,1594.00,13
2008-01-02 06:25:00,1594.00,1594.00,1594.00,1594.00,1
2008-01-02 06:26:00,1593.75,1593.75,1593.75,1593.75,43
2008-01-02 06:27:00,1593.75,1594.25,1593.75,1594.00,122
2008-01-02 06:28:00,1594.00,1594.00,1593.50,1593.75,99
2008-01-02 06:29:00,1594.00,1594.00,1591.75,1593.00,949
2008-01-02 06:30:00,1593.00,1593.25,1593.00,1593.25,64
2008-01-02 06:31:00,1593.25,1593.75,1593.25,1593.25,93
2008-01-02 06:32:00,1593.25,1593.50,1593.25,1593.50,27
2008-01-02 06:33:00,1593.50,1593.75,1593.50,1593.50,141
2008-01-02 06:34:00,1593.50,1593.75,1593.25,1593.75,117
2008-01-02 06:35:00,1593.50,1593.75,1593.50,1593.50,42
2008-01-02 06:36:00,1593.75,1593.75,1593.75,1593.75,100
2008-01-02 06:37:00,1594.00,1594.00,1593.75,1593.75,72
2008-01-02 06:38:00,1593.75,1594.00,1593.75,1594.00,266
2008-01-02 06:39:00,1594.00,1594.25,1594.00,1594.00,388
2008-01-02 06:40:00,1593.75,1594.00,1593.75,1593.75,57
2008-01-02 06:41:00,1593.75,1594.00,1593.50,1593.75,99
2008-01-02 06:42:00,1593.50,1593.50,1593.25,1593.50,96
2008-01-02 06:43:00,1593.50,1593.75,1593.50,1593.50,114
2008-01-02 06:44:00,1593.50,1593.50,1593.50,1593.50,56
2008-01-02 06:45:00,1593.50,1593.50,1593.25,1593.25,73
2008-01-02 06:46:00,1593.25,1593.75,1593.25,1593.75,84
2008-01-02 06:47:00,1593.75,1593.75,1593.50,1593.50,191
2008-01-02 06:48:00,1593.50,1594.25,1593.50,1594.00,349
2008-01-02 06:49:00,1594.00,1594.25,1593.75,1593.75,179
2008-01-02 06:50:00,1593.75,1594.00,1593.50,1593.75,112
2008-01-02 06:51:00,1593.50,1594.00,1593.50,1594.00,107
2008-01-02 06:52:00,1593.75,1594.00,1593.75,1593.75,6
2008-01-02 06:53:00,1593.75,1594.25,1593.75,1594.25,207
2008-01-02 06:54:00,1594.25,1594.75,1593.75,1594.75,492
2008-01-02 06:55:00,1594.50,1594.75,1594.50,1594.50,213
2008-01-02 06:56:00,1594.50,1594.75,1594.50,1594.50,204
2008-01-02 06:57:00,1594.50,1595.00,1594.50,1594.50,360
2008-01-02 06:58:00,1594.75,1595.00,1594.75,1595.00,247
2008-01-02 06:59:00,1595.00,1595.00,1594.75,1594.75,145
2008-01-02 07:00:00,1594.50,1594.75,1594.50,1594.50,156
2008-01-02 07:01:00,1594.50,1594.50,1594.25,1594.25,577
2008-01-02 07:02:00,1594.25,1594.50,1594.25,1594.25,176
2008-01-02 07:03:00,1594.25,1594.25,1593.50,1593.50,615
2008-01-02 07:04:00,1593.50,1593.75,1593.50,1593.75,134
2008-01-02 07:05:00,1593.50,1593.50,1593.25,1593.25,608
2008-01-02 07:06:00,1593.25,1593.50,1593.25,1593.25,137
2008-01-02 07:07:00,1593.50,1593.50,1592.75,1593.00,157
2008-01-02 07:08:00,1593.00,1593.25,1592.50,1592.50,389
2008-01-02 07:09:00,1592.75,1592.75,1592.50,1592.75,214
2008-01-02 07:10:00,1592.75,1592.75,1592.25,1592.50,178
2008-01-02 07:11:00,1592.50,1593.00,1592.50,1593.00,140
2008-01-02 07:12:00,1592.75,1593.00,1592.50,1592.75,138
2008-01-02 07:13:00,1592.75,1592.75,1591.75,1592.25,242
2008-01-02 07:14:00,1592.25,1592.50,1592.00,1592.25,215
2008-01-02 07:15:00,1592.25,1592.50,1592.00,1592.00,432
2008-01-02 07:16:00,1592.00,1592.00,1592.00,1592.00,32
2008-01-02 07:17:00,1592.00,1592.25,1591.75,1592.00,357
2008-01-02 07:18:00,1592.25,1592.25,1592.00,1592.25,64
2008-01-02 07:19:00,1592.25,1592.25,1592.00,1592.25,37
2008-01-02 07:20:00,1592.25,1592.50,1592.00,1592.50,449
2008-01-02 07:21:00,1592.50,1592.75,1592.50,1592.75,224
2008-01-02 07:22:00,1592.75,1592.75,1592.75,1592.75,61
2008-01-02 07:23:00,1593.00,1593.25,1592.75,1593.00,180
2008-01-02 07:24:00,1593.25,1593.25,1593.00,1593.25,166
2008-01-02 07:25:00,1593.25,1593.25,1592.75,1592.75,263
2008-01-02 07:26:00,1592.75,1593.00,1592.50,1592.75,67
2008-01-02 07:27:00,1592.75,1592.75,1592.25,1592.25,114
2008-01-02 07:28:00,1592.50,1592.75,1592.25,1592.75,83
2008-01-02 07:29:00,1592.75,1592.75,1592.25,1592.50,577
2008-01-02 07:30:00,1592.50,1592.75,1592.25,1592.50,260
2008-01-02 07:31:00,1592.75,1592.75,1592.25,1592.50,69
2008-01-02 07:32:00,1592.75,1592.75,1592.50,1592.75,15
2008-01-02 07:33:00,1592.75,1592.75,1592.25,1592.50,69
2008-01-02 07:34:00,1592.25,1592.50,1592.25,1592.50,484
2008-01-02 07:35:00,1592.50,1592.75,1592.50,1592.50,99
2008-01-02 07:36:00,1592.75,1592.75,1592.50,1592.50,3
2008-01-02 07:37:00,1592.50,1592.50,1592.25,1592.25,128
2008-01-02 07:38:00,1592.25,1592.50,1592.25,1592.25,30
2008-01-02 07:39:00,1592.25,1592.50,1592.25,1592.25,249
2008-01-02 07:40:00,1592.25,1592.50,1592.25,1592.25,59
2008-01-02 07:41:00,1592.25,1592.25,1591.50,1591.75,852
2008-01-02 07:42:00,1591.75,1592.00,1591.75,1591.75,179
2008-01-02 07:43:00,1591.75,1592.00,1591.75,1592.00,425
2008-01-02 07:44:00,1592.25,1592.50,1592.25,1592.50,157
2008-01-02 07:45:00,1592.50,1592.50,1591.75,1592.00,292
2008-01-02 07:46:00,1592.00,1592.00,1591.25,1591.50,492
2008-01-02 07:47:00,1591.50,1591.50,1591.25,1591.50,210
2008-01-02 07:48:00,1591.50,1591.75,1591.50,1591.50,77
2008-01-02 07:49:00,1591.50,1591.75,1591.50,1591.75,196
2008-01-02 07:50:00,1592.00,1592.00,1591.50,1591.50,314
2008-01-02 07:51:00,1591.50,1591.75,1591.25,1591.25,110
2008-01-02 07:52:00,1591.50,1591.50,1591.25,1591.25,15
2008-01-02 07:53:00,1591.25,1591.75,1591.00,1591.00,495
2008-01-02 07:54:00,1591.00,1591.50,1590.75,1591.00,247
2008-01-02 07:55:00,1590.75,1591.00,1590.50,1590.75,648
2008-01-02 07:56:00,1590.75,1591.25,1590.75,1591.00,109
2008-01-02 07:57:00,1591.25,1591.25,1591.00,1591.25,60
2008-01-02 07:58:00,1591.00,1591.25,1590.75,1591.00,119
2008-01-02 07:59:00,1591.00,1591.25,1590.75,1591.00,48
2008-01-02 08:00:00,1591.00,1591.50,1590.75,1591.25,196
2008-01-02 08:01:00,1591.00,1591.25,1591.00,1591.25,26
2008-01-02 08:02:00,1591.50,1591.50,1591.25,1591.50,235
2008-01-02 08:03:00,1591.50,1591.50,1591.00,1591.00,311
2008-01-02 08:04:00,1591.00,1591.25,1590.75,1591.00,161
2008-01-02 08:05:00,1591.00,1591.25,1590.75,1590.75,41
2008-01-02 08:06:00,1591.00,1591.00,1590.75,1591.00,30
2008-01-02 08:07:00,1591.00,1591.00,1590.75,1590.75,220
2008-01-02 08:08:00,1590.75,1591.00,1590.25,1590.50,338
2008-01-02 08:09:00,1590.50,1590.75,1590.25,1590.25,220
2008-01-02 08:10:00,1590.50,1590.50,1590.25,1590.50,121
2008-01-02 08:11:00,1590.50,1590.50,1590.25,1590.25,219
2008-01-02 08:12:00,1590.00,1590.25,1589.50,1589.75,646
2008-01-02 08:13:00,1589.75,1589.75,1589.50,1589.75,123
2008-01-02 08:14:00,1589.50,1589.75,1589.25,1589.25,697
2008-01-02 08:15:00,1589.25,1589.25,1588.50,1588.50,1088
2008-01-02 08:16:00,1588.50,1589.25,1588.25,1589.25,968
2008-01-02 08:17:00,1589.25,1589.50,1589.00,1589.25,281
2008-01-02 08:18:00,1589.25,1589.50,1589.25,1589.25,220
2008-01-02 08:19:00,1589.25,1589.75,1589.25,1589.75,269
2008-01-02 08:20:00,1589.50,1589.75,1589.50,1589.75,165
2008-01-02 08:21:00,1589.75,1589.75,1589.75,1589.75,74
2008-01-02 08:22:00,1589.75,1589.75,1589.75,1589.75,91
2008-01-02 08:23:00,1589.75,1590.00,1589.50,1589.75,147
2008-01-02 08:24:00,1589.50,1590.00,1589.50,1589.75,46
2008-01-02 08:25:00,1589.75,1589.75,1589.50,1589.75,190
2008-01-02 08:26:00,1589.50,1589.50,1589.50,1589.50,59
2008-01-02 08:27:00,1589.50,1589.75,1589.50,1589.50,167
2008-01-02 08:28:00,1589.50,1589.75,1589.50,1589.75,239
2008-01-02 08:29:00,1589.75,1590.00,1589.75,1589.75,55
2008-01-02 08:30:00,1589.75,1590.50,1589.75,1590.50,469
2008-01-02 08:31:00,1590.50,1590.75,1590.25,1590.50,639
2008-01-02 08:32:00,1590.50,1590.50,1590.25,1590.25,134
2008-01-02 08:33:00,1590.25,1590.75,1590.25,1590.50,98
2008-01-02 08:34:00,1590.50,1590.50,1590.25,1590.25,145
2008-01-02 08:35:00,1590.25,1590.50,1590.25,1590.50,64
2008-01-02 08:36:00,1590.50,1590.50,1589.00,1589.25,1028
2008-01-02 08:37:00,1589.25,1589.50,1589.25,1589.50,233
2008-01-02 08:38:00,1589.50,1589.75,1589.50,1589.50,202
2008-01-02 08:39:00,1589.50,1590.00,1589.50,1589.75,104
2008-01-02 08:40:00,1589.75,1590.00,1589.50,1590.00,240
2008-01-02 08:41:00,1590.00,1590.00,1589.50,1589.50,1310
2008-01-02 08:42:00,1589.50,1590.00,1589.50,1589.75,111
2008-01-02 08:43:00,1589.75,1589.75,1589.50,1589.75,169
2008-01-02 08:44:00,1589.75,1590.00,1589.50,1589.75,64
2008-01-02 08:45:00,1589.75,1589.75,1589.50,1589.50,46
2008-01-02 08:46:00,1589.75,1590.00,1589.50,1589.75,207
2008-01-02 08:47:00,1589.50,1590.00,1589.50,1590.00,246
2008-01-02 08:48:00,1589.75,1589.75,1589.75,1589.75,111
2008-01-02 08:49:00,1589.75,1590.00,1589.75,1590.00,171
2008-01-02 08:50:00,1590.00,1590.25,1590.00,1590.25,124
2008-01-02 08:51:00,1590.25,1590.25,1590.00,1590.25,83
2008-01-02 08:52:00,1590.25,1590.25,1590.00,1590.00,34
2008-01-02 08:53:00,1590.25,1590.25,1590.00,1590.00,54
2008-01-02 08:54:00,1590.00,1590.25,1590.00,1590.25,60
2008-01-02 08:55:00,1590.00,1590.50,1590.00,1590.25,237
2008-01-02 08:56:00,1590.25,1590.50,1590.00,1590.25,782
2008-01-02 08:57:00,1590.25,1590.75,1590.00,1590.25,640
2008-01-02 08:58:00,1590.25,1590.75,1590.25,1590.75,280
2008-01-02 08:59:00,1590.75,1591.25,1590.75,1591.00,629
2008-01-02 09:00:00,1591.25,1592.00,1590.75,1591.75,2667
2008-01-02 09:01:00,1591.75,1591.75,1591.00,1591.25,589
2008-01-02 09:02:00,1591.25,1591.50,1591.00,1591.00,151
2008-01-02 09:03:00,1591.25,1591.50,1591.00,1591.25,128
2008-01-02 09:04:00,1591.50,1591.50,1591.00,1591.25,114
2008-01-02 09:05:00,1591.00,1591.25,1590.25,1590.50,708
2008-01-02 09:06:00,1590.25,1590.50,1590.25,1590.25,178
2008-01-02 09:07:00,1590.25,1590.75,1590.00,1590.25,241
2008-01-02 09:08:00,1590.50,1590.75,1590.25,1590.75,260
2008-01-02 09:09:00,1590.75,1590.75,1590.50,1590.50,201
2008-01-02 09:10:00,1590.50,1590.75,1590.50,1590.75,35
2008-01-02 09:11:00,1590.50,1590.75,1590.50,1590.75,48
2008-01-02 09:12:00,1590.75,1590.75,1590.50,1590.50,47
2008-01-02 09:13:00,1590.75,1590.75,1590.00,1590.00,455
2008-01-02 09:14:00,1590.00,1590.50,1590.00,1590.50,215
2008-01-02 09:15:00,1590.25,1590.25,1590.00,1590.00,501
2008-01-02 09:16:00,1590.25,1590.25,1590.00,1590.00,175
2008-01-02 09:17:00,1590.00,1590.25,1590.00,1590.25,28
2008-01-02 09:18:00,1590.00,1590.25,1589.75,1589.75,185
2008-01-02 09:19:00,1590.00,1590.00,1589.50,1589.50,263
2008-01-02 09:20:00,1589.50,1589.75,1588.75,1588.75,1440
2008-01-02 09:21:00,1588.75,1589.00,1588.50,1589.00,525
2008-01-02 09:22:00,1588.75,1589.25,1588.75,1589.00,759
2008-01-02 09:23:00,1589.00,1589.25,1588.75,1589.00,409
2008-01-02 09:24:00,1588.75,1589.25,1588.50,1588.75,255
2008-01-02 09:25:00,1588.75,1588.75,1587.25,1587.50,3603
2008-01-02 09:26:00,1587.25,1588.25,1587.25,1588.25,1745
2008-01-02 09:27:00,1588.25,1588.25,1587.75,1588.00,337
2008-01-02 09:28:00,1588.00,1588.25,1587.75,1587.75,418
2008-01-02 09:29:00,1588.00,1588.75,1587.75,1588.25,1777
2008-01-02 09:30:00,1588.25,1589.50,1588.00,1589.50,7864
2008-01-02 09:31:00,1589.50,1589.75,1589.00,1589.50,3687
2008-01-02 09:32:00,1589.50,1590.50,1589.50,1590.00,6077
2008-01-02 09:33:00,1590.00,1590.25,1589.50,1589.75,4082
2008-01-02 09:34:00,1589.50,1590.50,1589.50,1590.25,3163
2008-01-02 09:35:00,1590.25,1590.75,1589.75,1589.75,4947
2008-01-02 09:36:00,1589.75,1590.75,1588.25,1588.25,5996
2008-01-02 09:37:00,1588.25,1589.00,1588.00,1588.50,7051
2008-01-02 09:38:00,1588.50,1590.00,1588.25,1589.50,4249
2008-01-02 09:39:00,1589.50,1590.75,1589.25,1590.50,4666
2008-01-02 09:40:00,1590.50,1590.75,1589.75,1590.50,2515
2008-01-02 09:41:00,1590.50,1591.25,1590.25,1591.25,4154
2008-01-02 09:42:00,1591.00,1592.00,1590.75,1591.75,3945
2008-01-02 09:43:00,1592.00,1592.50,1591.75,1592.00,6415
2008-01-02 09:44:00,1592.00,1592.50,1591.50,1592.00,3701
2008-01-02 09:45:00,1592.00,1592.25,1591.50,1591.75,2130
2008-01-02 09:46:00,1591.50,1592.75,1591.00,1591.25,5299
2008-01-02 09:47:00,1591.25,1591.75,1591.00,1591.75,2960
2008-01-02 09:48:00,1591.75,1592.00,1591.00,1591.25,1920
2008-01-02 09:49:00,1591.00,1591.50,1590.75,1591.00,1865
2008-01-02 09:50:00,1591.00,1591.25,1590.25,1590.50,4175
2008-01-02 09:51:00,1590.75,1591.00,1590.25,1590.50,1925
2008-01-02 09:52:00,1590.75,1591.00,1590.50,1590.75,446
2008-01-02 09:53:00,1590.50,1591.50,1590.50,1591.25,1934
2008-01-02 09:54:00,1591.25,1591.75,1591.00,1591.25,2182
2008-01-02 09:55:00,1591.50,1591.50,1590.25,1590.75,2271
2008-01-02 09:56:00,1590.75,1590.75,1590.00,1590.00,1523
2008-01-02 09:57:00,1590.25,1590.25,1588.50,1588.75,6860
2008-01-02 09:58:00,1588.75,1590.00,1588.50,1589.50,2165
2008-01-02 09:59:00,1589.50,1590.00,1589.25,1589.75,998
2008-01-02 10:00:00,1589.75,1590.00,1584.50,1584.75,24597
2008-01-02 10:01:00,1584.75,1585.00,1580.75,1581.50,18721
2008-01-02 10:02:00,1581.50,1583.25,1581.25,1582.00,12355
2008-01-02 10:03:00,1581.75,1583.25,1581.75,1582.50,6585
2008-01-02 10:04:00,1582.75,1583.50,1582.25,1582.50,7677
2008-01-02 10:05:00,1582.50,1583.25,1580.00,1580.50,10509
2008-01-02 10:06:00,1580.75,1582.00,1579.75,1580.25,10920
2008-01-02 10:07:00,1580.25,1581.75,1579.50,1581.25,7552
2008-01-02 10:08:00,1581.50,1582.50,1581.25,1582.25,5337
2008-01-02 10:09:00,1582.00,1583.50,1581.50,1582.25,9130
2008-01-02 10:10:00,1582.50,1583.25,1581.75,1582.50,6021
2008-01-02 10:11:00,1582.50,1582.75,1581.75,1582.50,2631
2008-01-02 10:12:00,1582.25,1583.00,1582.00,1582.25,2578
2008-01-02 10:13:00,1582.25,1582.25,1580.50,1580.75,4472
2008-01-02 10:14:00,1580.75,1580.75,1579.50,1579.75,4959
2008-01-02 10:15:00,1579.75,1580.75,1579.50,1580.00,7103
2008-01-02 10:16:00,1580.00,1580.25,1578.75,1578.75,7633
2008-01-02 10:17:00,1579.00,1579.50,1578.75,1579.00,4585
2008-01-02 10:18:00,1579.25,1579.50,1578.50,1578.50,5012
2008-01-02 10:19:00,1578.50,1579.25,1577.25,1578.75,12572
2008-01-02 10:20:00,1578.75,1579.00,1578.00,1578.75,5842
2008-01-02 10:21:00,1579.00,1579.50,1578.75,1579.25,3543
2008-01-02 10:22:00,1579.50,1579.75,1578.75,1578.75,3323
2008-01-02 10:23:00,1578.75,1580.25,1578.75,1580.00,3942
2008-01-02 10:24:00,1580.00,1580.25,1579.25,1579.25,2611
2008-01-02 10:25:00,1579.50,1580.25,1579.25,1580.25,2011
2008-01-02 10:26:00,1580.00,1580.50,1579.75,1580.00,2810
2008-01-02 10:27:00,1580.00,1580.50,1579.75,1580.50,2284
2008-01-02 10:28:00,1580.50,1580.50,1579.75,1580.00,1760
2008-01-02 10:29:00,1580.00,1580.50,1579.75,1580.00,1281
2008-01-02 10:30:00,1580.00,1580.25,1578.75,1579.00,3133
2008-01-02 10:31:00,1579.00,1580.00,1578.50,1579.75,2713
2008-01-02 10:32:00,1579.75,1579.75,1578.50,1578.50,1590
2008-01-02 10:33:00,1578.75,1579.00,1577.75,1578.00,3995
2008-01-02 10:34:00,1578.00,1579.75,1578.00,1579.25,2769
2008-01-02 10:35:00,1579.50,1580.00,1579.00,1579.50,1387
2008-01-02 10:36:00,1579.50,1579.75,1579.50,1579.75,698
2008-01-02 10:37:00,1579.75,1580.25,1579.25,1580.25,1794
2008-01-02 10:38:00,1580.00,1580.75,1579.75,1579.75,4914
2008-01-02 10:39:00,1579.75,1580.00,1579.00,1579.25,1496
2008-01-02 10:40:00,1579.00,1579.50,1578.25,1579.00,4545
2008-01-02 10:41:00,1579.00,1579.25,1578.50,1579.25,2596
2008-01-02 10:42:00,1579.25,1579.75,1579.00,1579.25,1833
2008-01-02 10:43:00,1579.50,1580.25,1579.25,1579.25,1974
2008-01-02 10:44:00,1579.25,1579.25,1578.00,1578.50,3579
2008-01-02 10:45:00,1578.50,1579.00,1578.25,1579.00,2145
2008-01-02 10:46:00,1579.25,1579.50,1578.75,1579.25,2071
2008-01-02 10:47:00,1579.50,1579.75,1579.00,1579.25,2508
2008-01-02 10:48:00,1579.25,1580.25,1579.00,1579.75,2297
2008-01-02 10:49:00,1579.75,1579.75,1578.25,1578.50,3119
2008-01-02 10:50:00,1578.50,1578.75,1577.75,1578.50,3795
2008-01-02 10:51:00,1578.25,1578.50,1578.00,1578.00,2311
2008-01-02 10:52:00,1578.25,1578.75,1577.50,1578.75,2664
2008-01-02 10:53:00,1578.50,1579.25,1578.50,1579.25,3000
2008-01-02 10:54:00,1579.00,1579.25,1578.00,1578.50,2872
2008-01-02 10:55:00,1578.50,1579.00,1577.75,1578.00,2757
2008-01-02 10:56:00,1578.25,1578.25,1576.50,1577.75,8184
2008-01-02 10:57:00,1577.75,1578.25,1577.25,1577.75,2887
2008-01-02 10:58:00,1577.75,1578.25,1577.25,1577.50,1537
2008-01-02 10:59:00,1577.50,1577.50,1576.75,1577.25,2705
2008-01-02 11:00:00,1577.25,1578.25,1576.75,1578.25,4933
2008-01-02 11:01:00,1578.25,1578.75,1578.00,1578.00,3088
2008-01-02 11:02:00,1578.00,1578.50,1577.75,1578.00,1351
2008-01-02 11:03:00,1578.25,1578.50,1577.00,1577.25,2824
2008-01-02 11:04:00,1577.25,1578.00,1576.50,1577.25,3670
2008-01-02 11:05:00,1577.25,1578.00,1576.75,1577.50,3040
2008-01-02 11:06:00,1577.25,1578.00,1576.50,1576.75,2107
2008-01-02 11:07:00,1576.50,1578.50,1576.50,1578.25,2566
2008-01-02 11:08:00,1578.25,1578.50,1577.75,1577.75,1944
2008-01-02 11:09:00,1577.75,1578.00,1577.25,1577.75,1607
2008-01-02 11:10:00,1577.50,1578.75,1577.50,1577.75,4454
2008-01-02 11:11:00,1577.50,1578.00,1577.00,1577.00,1828
2008-01-02 11:12:00,1577.00,1577.50,1575.50,1575.75,8919
2008-01-02 11:13:00,1575.75,1576.25,1574.50,1575.75,10888
2008-01-02 11:14:00,1575.50,1575.75,1574.75,1575.25,3527
2008-01-02 11:15:00,1575.00,1575.75,1574.75,1575.50,2998
2008-01-02 11:16:00,1575.50,1576.00,1574.75,1575.00,2399
2008-01-02 11:17:00,1574.75,1575.00,1573.25,1573.50,13041
2008-01-02 11:18:00,1573.50,1573.75,1573.00,1573.75,3258
2008-01-02 11:19:00,1573.75,1574.00,1573.50,1573.75,2201
2008-01-02 11:20:00,1573.75,1573.75,1572.00,1572.50,17853
2008-01-02 11:21:00,1572.50,1572.75,1571.25,1572.00,11303
2008-01-02 11:22:00,1572.00,1573.00,1571.75,1572.25,6435
2008-01-02 11:23:00,1572.25,1573.25,1572.25,1572.75,4626
2008-01-02 11:24:00,1572.75,1573.25,1572.50,1573.00,2293
2008-01-02 11:25:00,1573.00,1573.75,1572.75,1573.50,2374
2008-01-02 11:26:00,1573.25,1573.75,1573.25,1573.50,3422
2008-01-02 11:27:00,1573.50,1574.00,1572.75,1572.75,2939
2008-01-02 11:28:00,1572.75,1573.50,1572.75,1573.25,1652
2008-01-02 11:29:00,1573.50,1574.00,1573.25,1573.25,2512
