Datetime,Open,High,Low,Close,Volume
2023-01-02 18:00:00,4204.50,4209.50,4196.25,4198.00,3804
2023-01-02 18:01:00,4198.25,4199.75,4197.50,4198.25,778
2023-01-02 18:02:00,4198.00,4199.25,4197.50,4198.25,399
2023-01-02 18:03:00,4198.00,4198.25,4195.00,4195.75,813
2023-01-02 18:04:00,4195.75,4195.75,4192.75,4193.25,798
2023-01-02 18:05:00,4193.25,4196.75,4193.00,4196.25,604
2023-01-02 18:06:00,4196.50,4199.50,4196.50,4198.50,998
2023-01-02 18:07:00,4198.50,4199.75,4198.25,4199.50,388
2023-01-02 18:08:00,4199.75,4199.75,4195.75,4197.50,540
2023-01-02 18:09:00,4197.50,4197.75,4193.25,4194.50,426
2023-01-02 18:10:00,4194.50,4195.00,4188.50,4188.75,1442
2023-01-02 18:11:00,4188.75,4189.50,4186.50,4186.75,690
2023-01-02 18:12:00,4187.00,4187.50,4185.25,4186.50,639
2023-01-02 18:13:00,4186.75,4187.75,4186.00,4186.50,317
2023-01-02 18:14:00,4186.50,4187.50,4186.00,4186.00,304
2023-01-02 18:15:00,4186.00,4186.75,4183.50,4183.50,623
2023-01-02 18:16:00,4183.75,4184.75,4183.25,4183.75,408
2023-01-02 18:17:00,4183.75,4185.25,4182.25,4184.25,686
2023-01-02 18:18:00,4184.00,4185.00,4183.25,4184.50,489
2023-01-02 18:19:00,4184.25,4185.00,4183.50,4183.75,214
2023-01-02 18:20:00,4183.50,4185.25,4183.00,4183.25,399
2023-01-02 18:21:00,4183.50,4183.50,4182.00,4182.00,301
2023-01-02 18:22:00,4182.00,4182.50,4180.50,4181.25,460
2023-01-02 18:23:00,4181.50,4182.25,4180.75,4181.75,250
2023-01-02 18:24:00,4181.75,4182.75,4181.25,4182.25,153
2023-01-02 18:25:00,4182.50,4183.75,4182.50,4182.75,229
2023-01-02 18:26:00,4182.75,4183.25,4182.50,4183.25,217
2023-01-02 18:27:00,4183.25,4183.50,4182.75,4183.00,160
2023-01-02 18:28:00,4183.25,4183.25,4182.50,4182.75,107
2023-01-02 18:29:00,4182.75,4183.00,4180.75,4180.75,301
2023-01-02 18:30:00,4180.75,4181.75,4180.50,4180.75,261
2023-01-02 18:31:00,4181.00,4181.75,4180.50,4180.50,214
2023-01-02 18:32:00,4180.75,4181.25,4180.50,4180.50,226
2023-01-02 18:33:00,4180.50,4181.25,4179.25,4180.75,614
2023-01-02 18:34:00,4180.50,4181.00,4180.00,4180.25,216
2023-01-02 18:35:00,4180.25,4180.50,4179.00,4179.25,308
2023-01-02 18:36:00,4179.00,4180.50,4179.00,4179.50,220
2023-01-02 18:37:00,4179.50,4179.75,4179.00,4179.50,197
2023-01-02 18:38:00,4179.50,4180.50,4179.25,4180.00,168
2023-01-02 18:39:00,4180.00,4181.00,4180.00,4180.50,235
2023-01-02 18:40:00,4180.75,4181.00,4180.25,4181.00,375
2023-01-02 18:41:00,4181.00,4181.50,4180.50,4181.00,488
2023-01-02 18:42:00,4181.00,4181.50,4181.00,4181.50,236
2023-01-02 18:43:00,4181.50,4181.50,4180.75,4181.00,168
2023-01-02 18:44:00,4181.00,4181.25,4180.50,4180.75,97
2023-01-02 18:45:00,4180.50,4181.00,4180.25,4180.50,216
2023-01-02 18:46:00,4180.50,4180.75,4179.75,4179.75,281
2023-01-02 18:47:00,4179.75,4180.25,4179.50,4179.50,134
2023-01-02 18:48:00,4179.50,4179.75,4178.75,4179.00,172
2023-01-02 18:49:00,4179.00,4179.50,4178.25,4179.00,266
2023-01-02 18:50:00,4179.25,4179.25,4178.50,4179.25,132
2023-01-02 18:51:00,4179.00,4180.00,4179.00,4179.00,256
2023-01-02 18:52:00,4178.75,4179.25,4178.25,4179.00,219
2023-01-02 18:53:00,4179.25,4179.25,4178.25,4178.50,98
2023-01-02 18:54:00,4178.50,4179.00,4178.50,4179.00,164
2023-01-02 18:55:00,4179.00,4180.25,4179.00,4180.00,180
2023-01-02 18:56:00,4179.75,4180.50,4179.75,4180.50,230
2023-01-02 18:57:00,4180.25,4180.50,4180.00,4180.50,118
2023-01-02 18:58:00,4180.50,4180.75,4180.25,4180.50,220
2023-01-02 18:59:00,4180.25,4181.25,4180.25,4181.00,374
2023-01-02 19:00:00,4180.75,4181.25,4179.75,4180.50,465
2023-01-02 19:01:00,4180.50,4180.75,4179.75,4180.25,169
2023-01-02 19:02:00,4180.50,4180.50,4179.00,4179.50,240
2023-01-02 19:03:00,4179.50,4180.00,4179.00,4179.00,179
2023-01-02 19:04:00,4179.00,4179.25,4178.50,4178.75,157
2023-01-02 19:05:00,4179.00,4179.75,4178.50,4178.75,181
2023-01-02 19:06:00,4178.75,4179.00,4178.50,4179.00,169
2023-01-02 19:07:00,4179.00,4179.50,4178.75,4179.00,53
2023-01-02 19:08:00,4179.00,4179.50,4178.75,4179.25,113
2023-01-02 19:09:00,4179.00,4179.50,4178.75,4179.25,234
2023-01-02 19:10:00,4179.00,4179.00,4177.00,4177.50,615
2023-01-02 19:11:00,4177.25,4178.00,4176.50,4176.75,1008
2023-01-02 19:12:00,4176.75,4177.25,4174.00,4174.00,732
2023-01-02 19:13:00,4174.00,4175.00,4172.50,4172.75,664
2023-01-02 19:14:00,4172.50,4174.75,4172.50,4174.25,533
2023-01-02 19:15:00,4174.25,4174.25,4172.75,4173.75,355
2023-01-02 19:16:00,4173.75,4174.00,4173.25,4174.00,362
2023-01-02 19:17:00,4174.00,4175.50,4173.75,4175.25,391
2023-01-02 19:18:00,4175.25,4175.50,4174.50,4174.50,274
2023-01-02 19:19:00,4174.75,4175.50,4173.50,4175.25,322
2023-01-02 19:20:00,4175.00,4175.75,4174.50,4175.50,276
2023-01-02 19:21:00,4175.25,4176.25,4175.25,4175.50,181
2023-01-02 19:22:00,4175.75,4176.00,4175.00,4175.25,190
